ts	phase	decision	why	evidence	result
2026-09-19T15:40:00Z	baseline	kept commit 25323cb as the protected Milestone 1 baseline	The integrated HUD and inactive-handle fix were already reviewed and manually validated.	25323cb; npm test; packages/sdk/src/check-plugin-sdk.ts	baseline clean and green
2026-09-19T15:42:00Z	frame	limited Milestone 4 to optional battery pass-through and network documentation	The current host computes GPU and disk only, and the SDK has no throughput field. Shipping controls without a host source would fabricate support.	openpets-main/apps/desktop/src/system-metrics.ts:8-13; packages/sdk/src/index.ts:888-896	battery host support remains open; network unsupported
2026-09-19T15:45:00Z	design	used one metric registry for HUD display and alert eligibility	CPU, RAM, GPU, and disk need consistent null handling, setting defaults, labels, and alert selection without duplicated branches.	index.js	implementation pending
2026-09-19T15:50:00Z	harness	added failing coverage for independent HUD settings, sustained alerts, recovery, and optional battery data	The regression tests state the observable Milestone 2 and 3 contracts before the runtime changes.	test.js:81-160; test.js:350-430	RED as expected because the new config fields do not exist yet
2026-09-19T16:20:00Z	milestone-2	added four host-config display switches with true defaults and no stored duplicate state	The host already persists typed plugin config, so missing fields safely preserve the old all-on behavior and config changes can update the existing pinned handle.	openpets.plugin.json; index.js:390-407; test.js:151-183	VERIFIED by npm test and manifest validation
2026-09-19T16:25:00Z	milestone-3	kept one persisted cooldown timestamp and added per-metric alert gates with CPU/GPU streaks	A single cooldown preserves the existing behavior while the registry keeps metric selection and null handling consistent.	index.js:620-704; test.js:350-452	VERIFIED by npm test
2026-09-19T16:28:00Z	milestone-4	preserved optional battery data without adding a HUD item or unsupported network setting	The current desktop system-metrics provider returns no battery or throughput data, and the four-item HUD is already fully allocated by the requested metrics.	index.js:335-367; README.md	battery pass-through tested; host battery and network remain documented limits
2026-09-19T17:00:00Z	architecture	added optional host battery, aggregate network throughput, extended-sample identity, and freshness metadata	The provider owns OS collection and rate calculation; the SDK remains backward-compatible because every new field is optional.	apps/desktop/src/system-metrics.ts; packages/sdk/src/index.ts; docs/sdk.md	implemented and covered by host/SDK tests
2026-09-19T17:05:00Z	gpu	matched current macOS Apple GPU per-engine utilization fields and excluded p-state values	The live Mac emits `Device Unit N Utilization %`; the prior parser only accepted aggregate fields and returned no GPU reading.	apps/desktop/src/system-metrics.ts; apps/desktop/tests/system-metrics.test.ts	live provider returned bounded GPU percentage after the parser fix
2026-09-19T17:10:00Z	cache	kept extended samples fresh across the plugin's minimum five-second schedule with explicit stale marking	A five-second host TTL expired before the plugin's ten-second default poll and hid valid optional readings on every poll; fifteen seconds preserves liveness without hiding collection failures.	apps/desktop/src/plugin-host-capabilities.ts; apps/desktop/tests/system-metrics.test.ts	live scheduled snapshot contained GPU, Disk, battery, and network values
2026-09-19T17:20:00Z	runtime	launched the feature host branch with the standalone plugin in an isolated profile	The isolated profile proves source loading and live behavior without changing the user's existing OpenPets data or installing a duplicate identity.	isolated profile logs/state; local visual capture	plugin source path, version 2.1.0, enabled state, integrated four-item HUD, and real Mac readings verified
2026-09-19T17:30:00Z	validation	ran standalone, SDK, host, localization, packaging, and full desktop checks	Use focused checks for changed seams and record unrelated repository failures separately.	npm test; package:catalog; plugins:test; desktop test	focused checks passed; full desktop suite reached all behavior/contract tests and failed only the existing Zed desktop assertion
